店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
丸安水産 新宿店,03-6273-2188,,東京都,新宿区新宿,3-35-9,永和商事ビル2F,https://ggpb106.gorp.jp/,True
完全個室 海鮮和食 新鮮組,050-5492-0951,,福島県,福島市栄町,11-25,AXCビルB1,https://ta67300.gorp.jp/,True
完全個室×海鮮和食 新鮮組,050-5485-7345,,三重県,四日市市諏訪栄町,6-20,,https://nc5n700.gorp.jp/,True
三宮 完全個室居酒屋 蔵－KURA－,050-5487-5412,,兵庫県,神戸市中央区北長狭通,1-3-6,光陽ビル6F,https://kbkj911.gorp.jp/,True
隠れ家個室WAGYU  燦々－SANSAN－,050-5485-7413,,三重県,四日市市諏訪栄町,6-20,,https://nc5n600.gorp.jp/,True
全席個室 夢や京町しずく 八重洲店,050-2018-8853,,東京都,中央区日本橋,3-2-17,日本橋三丁目ビル2F,,False
博多中洲 遊食亭,050-5487-2439,,福岡県,福岡市博多区中洲,4-7-21,赤玉ビル2F,https://yushokutei.gorp.jp/,True
全席個室 じぶんどき 浜松町駅前店,050-2018-8854,,東京都,港区浜松町,1-30-11,浜松町FGビル2F,https://gf2t944.gorp.jp/,True
博多海鮮 さかな市場,050-5486-0453,,福岡県,福岡市博多区博多駅前,1-15-20,,https://hakatakaisensakanaichiba.gorp.jp/,True
全席個室 楽蔵うたげ 梅田店,050-2018-8990,,大阪府,大阪市北区小松原町,1-10,梅田パルビル 8F,,False
旬の鮮魚と個室 楽の宴 神田総本店,050-5485-3802,,東京都,千代田区内神田,3-10-3,神田ロイヤルビルB1,https://rakunoutagegdcg300.gorp.jp/,True
全席個室 和食や あたらよ 新宿東口駅前店,050-2018-8909,,東京都,新宿区新宿,3-26-6,FFビル8F,https://gjf0100.gorp.jp/,True
全席個室 楽蔵うたげ 横浜西口駅前店,050-2018-8879,,神奈川県,横浜市西区北幸,1-1-13,コンフォート178 6F,,False
個室ダイニング ウメ子の家新宿東口店,050-2018-8894,,東京都,新宿区新宿,3-17-5,ニュー富士ビル8・9F,,False
焼肉上野太昌園 別館,050-5487-3805,,東京都,台東区上野,2-5-4,,https://taishoenbekkan.gorp.jp/,True
個室 沖縄料理 ちゅらり 横浜店,050-5484-2054,churari.yokohama@ca-group.jp,神奈川県,横浜市西区南幸,1-12-8,TK横浜西口ビルB1,https://churari-yokohamaten.gorp.jp/,True
全席個室 じぶんどき 新宿東口駅前店,050-2018-8897,,東京都,新宿区新宿,3-36-10,ミラザビル5F,,False
個室 和食 居酒屋 ほたる 北新地店,050-5492-2297,,大阪府,大阪市北区曾根崎新地,1-5-23,吉紹ビル4F,https://ke4h900.gorp.jp/,True
神戸個室居酒屋 福わうち JR神戸駅前店,050-5487-9042,,兵庫県,神戸市中央区多聞通,3-3-1,神戸アークプラザ3F,https://kdax402.gorp.jp/,True
全席個室 鮨と酒日和 ととうお 新丸の内センタービル店,050-2018-8847,,東京都,千代田区丸の内,1-6-2,新丸の内センタービルディング3F,https://gjpa200.gorp.jp/,True
個室居酒屋 食べ飲み放題 三宮商店,070-6630-2106,,兵庫県,神戸市中央区北長狭通,2-12-13,キングズコースト7F,https://kenb900.gorp.jp/,True
全席個室 じぶんどき 大宮東口駅前店,050-2018-8935,,埼玉県,さいたま市大宮区大門町,1-93,大宮大門町ビル5F,,False
蒸しと酒 みちる 品川駅前店,050-2018-8874,,東京都,港区港南,2-6-9,DKビル 7～8F,,False
個室完備 大衆居酒屋 食楽酒場 馬車道店,050-5494-1134,,神奈川県,横浜市中区相生町,4-76,ラタンビル1F,https://ggan303.gorp.jp/,True
