店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室 沖縄料理 ちゅらり 横浜店,050-5484-2054,,神奈川県,横浜市西区,南幸1-12-8,TK横浜西口ビルB1,https://www.cafs.jp/,True
個室完備 大衆居酒屋 食楽酒場 馬車道店,050-5494-1134,,神奈川県,横浜市中区,相生町4-76,ラタンビル1F,https://ggan303.gorp.jp/,True
隠れ家個室WAGYU 燦々－SANSAN－,050-5485-7413,,三重県,四日市市,諏訪栄町6-20,,https://nc5n600.gorp.jp/,True
高田屋 川崎駅前店,050-5484-1647,,神奈川県,川崎市川崎区,駅前本町3-3,ムラタヤビルB1,https://takada-ya.co.jp/,True
全席個室 じぶんどき 大宮東口駅前店,050-2018-8935,,埼玉県,さいたま市大宮区,大門町1-93,大宮大門町ビル5F,https://jibundoki.dkdining.com/omiya/,True
NO1焼肉しゃぶしゃぶ 新宿歌舞伎町店,050-5484-8984,,東京都,新宿区,歌舞伎町1-8-3,FCCビル1F,https://gf3y400.gorp.jp/,True
完全個室 海鮮和食 新鮮組,050-5492-0951,,福島県,福島市,栄町11-25,AXCビルB1,https://ta67300.gorp.jp/,True
"個室ダイニング ウメ子の家
新宿東口店",050-2018-8894,,東京都,新宿区,新宿3-17-5,ニュー富士ビル8・9F,https://umeko.dkdining.com/shinjyukuhigashi/,True
やきとり家すみれ 新宿西口店,050-5485-1595,,東京都,新宿区,西新宿1-12-7,第二清新ビル4F,https://gayx208.gorp.jp/,True
個室 和食 居酒屋 ほたる 北新地店,050-5492-2297,,大阪府,大阪市北区,曾根崎新地1-5-23,吉紹ビル4F,https://ke4h900.gorp.jp/,True
"WAGYU YAKINIKU ‐SHOGUN‐
Shibuya",050-5484-7640,,東京都,渋谷区,宇田川町13-8,ちとせ会館3F,,False
"鉄板焼き鳥と肉寿司
個室UMIバル×肉酒場 310 秋葉原店",050-5492-6726,,東京都,千代田区,神田佐久間町1-19,山中ビル2F,https://gf34807.gorp.jp/,True
丸安水産 新宿店,03-6273-2188,,東京都,新宿区,新宿3-35-9,永和商事ビル2F,https://ggpb106.gorp.jp/,True
個室完備中華 新荘園 田町ステーションタワーS店,050-5487-5692,,東京都,港区,芝浦3-1-21,msb Tamachi田町ステーションタワーS2F,https://gb1t009.gorp.jp/,True
全席個室 楽蔵うたげ 品川港南口店,050-2018-8870,,東京都,港区,湊南2-5-14,CANALE品川8F,https://rakuzo.dkdining.com/shinagawa/,True
"少人数貸切×記念日
meat＆wine BACCHUS",050-5488-1751,,東京都,千代田区,神田東松下町49,,https://ggpn800.gorp.jp/,True
全席個室 楽蔵うたげ 梅田店,050-2018-8990,,大阪府,大阪市北区,小松原町1-10,梅田パルビル 8F,https://rakuzo.dkdining.com/umeda/,True
